ID,classe_real,score_EfficientNet-B0_logmel,peso_EfficientNet-B0_logmel,score_EfficientNet-B0_stft,peso_EfficientNet-B0_stft,score_ResNet-18v2_cqt,peso_ResNet-18v2_cqt,score_ResNet-18v2_stft,peso_ResNet-18v2_stft,score_final,decisao_final
PA_E_0000001,bonafide,-7.047053813934326,0.275,-6.582493305206299,0.3,2.0607340047718026e-05,0.223,5.45470982160623e-07,0.201,-3.9126830853173313,bonafide
PA_E_0000002,spoof,14.703133583068848,0.275,30.89462661743164,0.3,1.0,0.223,1.0,0.201,13.735749720573425,spoof
PA_E_0000003,spoof,8.840773582458496,0.275,16.206253051757812,0.3,1.0,0.223,1.0,0.201,7.717088650703429,spoof
PA_E_0000004,spoof,11.88349437713623,0.275,15.437536239624023,0.3,1.0,0.223,1.0,0.201,8.323221825599672,spoof
PA_E_0000005,spoof,17.608606338500977,0.275,18.560163497924805,0.3,1.0,0.223,1.0,0.201,10.834415792465212,spoof
PA_E_0000006,spoof,17.030128479003906,0.275,22.137861251831055,0.3,1.0,0.223,1.0,0.201,11.748643707275393,spoof
PA_E_0000007,bonafide,-6.638062000274658,0.275,-6.996610641479492,0.3,6.650475170566494e-10,0.223,2.8528731377264194e-07,0.201,-3.924450185028323,bonafide
PA_E_0000008,spoof,14.49599552154541,0.275,19.197622299194336,0.3,1.0,0.223,1.0,0.201,10.16968545818329,spoof
PA_E_0000009,spoof,7.443728446960449,0.275,13.533096313476562,0.3,1.0,0.223,1.0,0.201,6.530954216957092,spoof
PA_E_0000010,spoof,10.372488975524902,0.275,15.063522338867188,0.3,1.0,0.223,1.0,0.201,7.7954911699295035,spoof
PA_E_0000011,spoof,10.245906829833984,0.275,10.15118408203125,0.3,1.0,0.223,1.0,0.201,6.28697960281372,spoof
PA_E_0000012,spoof,7.445021629333496,0.275,7.589299201965332,0.3,0.9999998807907104,0.223,0.9999505281448364,0.201,4.7481607382297515,spoof
PA_E_0000013,spoof,14.254290580749512,0.275,21.10002899169922,0.3,1.0,0.223,1.0,0.201,10.673938607215883,spoof
PA_E_0000014,spoof,11.958691596984863,0.275,29.99320411682129,0.3,1.0,0.223,1.0,0.201,12.710601424217225,spoof
PA_E_0000015,spoof,11.993548393249512,0.275,11.74685287475586,0.3,0.9998617172241211,0.223,1.0,0.201,7.246250833511352,spoof
PA_E_0000016,spoof,14.091660499572754,0.275,22.33740234375,0.3,1.0,0.223,1.0,0.201,11.000427340507509,spoof
PA_E_0000017,spoof,10.531759262084961,0.275,14.265385627746582,0.3,1.0,0.223,1.0,0.201,7.599849485397339,spoof
PA_E_0000018,spoof,15.654616355895996,0.275,16.894033432006836,0.3,1.0,0.223,1.0,0.201,9.79722952747345,spoof
PA_E_0000019,bonafide,-6.761678695678711,0.275,-6.56470251083374,0.3,1.1266588444414083e-05,0.223,7.153331353038084e-06,0.201,-3.828868444292943,bonafide
PA_E_0000020,bonafide,-7.02236795425415,0.275,-6.853517532348633,0.3,1.877726596433149e-08,0.223,3.123555507045239e-05,0.201,-3.9872001645905812,bonafide
PA_E_0000021,bonafide,-6.788269996643066,0.275,-6.593834400177002,0.3,2.07874628621596e-09,0.223,6.048429668226163e-07,0.201,-3.8449244470929473,bonafide
PA_E_0000022,spoof,14.039885520935059,0.275,11.95358943939209,0.3,1.0,0.223,1.0,0.201,7.871045350074768,spoof
PA_E_0000023,spoof,11.704758644104004,0.275,9.724448204040527,0.3,0.996679425239563,0.223,1.0,0.201,6.559402600169181,spoof
PA_E_0000024,spoof,13.619635581970215,0.275,18.040103912353516,0.3,1.0,0.223,1.0,0.201,9.581430958747864,spoof
PA_E_0000025,spoof,5.1596150398254395,0.275,3.807033061981201,0.3,1.0,0.223,1.0,0.201,2.9850040545463563,spoof
PA_E_0000026,spoof,13.843036651611328,0.275,26.355087280273438,0.3,1.0,0.223,1.0,0.201,12.137361263275148,spoof
PA_E_0000027,spoof,1.5432090759277344,0.275,9.568036079406738,0.3,1.0,0.223,1.0,0.201,3.7187933197021485,spoof
