ID,classe_real,score_EfficientNet-B0_cqcc,peso_EfficientNet-B0_cqcc,score_EfficientNet-B0_cqt,peso_EfficientNet-B0_cqt,score_EfficientNet-B0_logmel,peso_EfficientNet-B0_logmel,score_ResNet-18v2_stft,peso_ResNet-18v2_stft,score_final,decisao_final
PA_E_0000001,bonafide,-4.1652607917785645,0.234,-7.292419910430908,0.268,-7.047053813934326,0.287,5.45470982160623e-07,0.211,-4.951543890776441,bonafide
PA_E_0000002,spoof,22.54581642150879,0.234,13.107573509216309,0.268,14.703133583068848,0.287,1.0,0.211,13.219350081443787,spoof
PA_E_0000003,spoof,13.585251808166504,0.234,14.289742469787598,0.268,8.840773582458496,0.287,1.0,0.211,9.756901923179626,spoof
PA_E_0000004,spoof,10.971092224121094,0.234,12.469730377197266,0.268,11.88349437713623,0.287,1.0,0.211,9.530686207771302,spoof
PA_E_0000005,spoof,15.278225898742676,0.234,14.4708833694458,0.268,17.608606338500977,0.287,1.0,0.211,12.717971622467042,spoof
PA_E_0000006,spoof,12.49513053894043,0.234,10.025593757629395,0.268,17.030128479003906,0.287,1.0,0.211,10.709366546630859,spoof
PA_E_0000007,bonafide,-7.430940628051758,0.234,-9.372811317443848,0.268,-6.638062000274658,0.287,2.8528731377264194e-07,0.211,-6.155877273922266,bonafide
PA_E_0000008,spoof,8.889253616333008,0.234,9.27165699005127,0.268,14.49599552154541,0.287,1.0,0.211,8.936240134239197,spoof
PA_E_0000009,spoof,12.466419219970703,0.234,15.868393898010254,0.268,7.443728446960449,0.287,1.0,0.211,9.517221726417542,spoof
PA_E_0000010,spoof,9.227802276611328,0.234,10.475313186645508,0.268,10.372488975524902,0.287,1.0,0.211,8.154594002723695,spoof
PA_E_0000011,spoof,6.476537704467773,0.234,9.932942390441895,0.268,10.245906829833984,0.287,1.0,0.211,7.32911364364624,spoof
PA_E_0000012,spoof,8.579424858093262,0.234,7.866487979888916,0.268,7.445021629333496,0.287,0.9999505281448364,0.211,6.463514964461326,spoof
PA_E_0000013,spoof,16.273046493530273,0.234,17.134233474731445,0.268,14.254290580749512,0.287,1.0,0.211,12.701848847389222,spoof
PA_E_0000014,spoof,19.291820526123047,0.234,17.241378784179688,0.268,11.958691596984863,0.287,1.0,0.211,12.778120005607605,spoof
PA_E_0000015,spoof,12.589557647705078,0.234,6.131159782409668,0.268,11.993548393249512,0.287,1.0,0.211,8.24225570011139,spoof
PA_E_0000016,spoof,9.984371185302734,0.234,9.411455154418945,0.268,14.091660499572754,0.287,1.0,0.211,9.113919402122496,spoof
PA_E_0000017,spoof,11.814936637878418,0.234,9.095263481140137,0.268,10.531759262084961,0.287,1.0,0.211,8.43584069442749,spoof
PA_E_0000018,spoof,15.703393936157227,0.234,12.427580833435059,0.268,15.654616355895996,0.287,1.0,0.211,11.709060738563538,spoof
PA_E_0000019,bonafide,-6.413019180297852,0.234,-8.407447814941406,0.268,-6.761678695678711,0.287,7.153331353038084e-06,0.211,-5.694442778900869,bonafide
PA_E_0000020,bonafide,-5.851284503936768,0.234,-8.058842658996582,0.268,-7.02236795425415,0.287,3.123555507045239e-05,0.211,-5.544383418701108,bonafide
PA_E_0000021,bonafide,2.6048531532287598,0.234,-7.137159824371338,0.268,-6.788269996643066,0.287,6.048429668226163e-07,0.211,-3.2514565564906825,bonafide
PA_E_0000022,spoof,13.79491138458252,0.234,11.584129333496094,0.268,14.039885520935059,0.287,1.0,0.211,10.573003069877624,spoof
PA_E_0000023,spoof,14.858192443847656,0.234,6.707215785980225,0.268,11.704758644104004,0.287,1.0,0.211,8.844616593360902,spoof
PA_E_0000024,spoof,7.277575969696045,0.234,9.863842010498047,0.268,13.619635581970215,0.287,1.0,0.211,8.466297847747803,spoof
PA_E_0000025,spoof,9.934454917907715,0.234,8.600109100341797,0.268,5.1596150398254395,0.287,1.0,0.211,6.321301206111909,spoof
PA_E_0000026,spoof,19.66802406311035,0.234,14.171109199523926,0.268,13.843036651611328,0.287,1.0,0.211,12.584126415252685,spoof
PA_E_0000027,spoof,11.070381164550781,0.234,7.648843765258789,0.268,1.5432090759277344,0.287,1.0,0.211,5.294260326385499,spoof
PA_E_0000028,bonafide,-5.030258655548096,0.234,-3.695404291152954,0.268,-6.8394083976745605,0.287,0.010053792037069798,0.211,-4.128237735440023,bonafide
PA_E_0000029,bonafide,-6.265865325927734,0.234,-8.397014617919922,0.268,-6.5419135093688965,0.287,1.934978718054481e-05,0.211,-5.594137498253407,bonafide
PA_E_0000030,spoof,10.068169593811035,0.234,8.999049186706543,0.268,8.481119155883789,0.287,1.0,0.211,7.4127780647277834,spoof
PA_E_0000031,spoof,11.081131935119629,0.234,11.460662841796875,0.268,12.586579322814941,0.287,1.0,0.211,9.487790780067444,spoof
PA_E_0000032,bonafide,4.364294052124023,0.234,-4.201980113983154,0.268,4.086263656616211,0.287,0.9999880790710449,0.211,1.278869291782379,spoof
PA_E_0000033,spoof,13.360403060913086,0.234,9.18467903137207,0.268,13.687533378601074,0.287,1.0,0.211,9.727150376319885,spoof
PA_E_0000034,spoof,9.77116584777832,0.234,14.570934295654297,0.268,2.7170374393463135,0.287,1.0,0.211,7.182252944707871,spoof
PA_E_0000035,spoof,20.30422592163086,0.234,12.544770240783691,0.268,20.277441024780273,0.287,1.0,0.211,14.14381286430359,spoof
PA_E_0000036,spoof,18.46018409729004,0.234,7.817580223083496,0.268,5.428605079650879,0.287,0.9998775720596313,0.211,8.183778404116632,spoof
PA_E_0000037,spoof,12.084089279174805,0.234,11.843624114990234,0.268,12.808948516845703,0.287,1.0,0.211,9.888936378479004,spoof
PA_E_0000038,spoof,11.182583808898926,0.234,10.016481399536133,0.268,13.533173561096191,0.287,1.0,0.211,9.39616243839264,spoof
PA_E_0000039,spoof,12.945802688598633,0.234,10.43508243560791,0.268,18.01818084716797,0.287,1.0,0.211,11.208137825012207,spoof
PA_E_0000040,spoof,13.098484992980957,0.234,10.988358497619629,0.268,8.378225326538086,0.287,1.0,0.211,8.625476234436036,spoof
PA_E_0000041,spoof,12.625045776367188,0.234,8.548999786376953,0.268,9.016505241394043,0.287,1.0,0.211,8.044129658699037,spoof
PA_E_0000042,spoof,15.625598907470703,0.234,9.390425682067871,0.268,12.830843925476074,0.287,1.0,0.211,10.066476433753968,spoof
PA_E_0000043,spoof,12.378920555114746,0.234,9.588953971862793,0.268,13.17794418334961,0.287,1.0,0.211,9.459577054977418,spoof
PA_E_0000044,spoof,-4.217196941375732,0.234,2.160352945327759,0.268,7.703314781188965,0.287,1.0,0.211,2.0140018472671506,spoof
PA_E_0000045,spoof,10.815125465393066,0.234,10.441206932067871,0.268,13.443158149719238,0.287,1.0,0.211,9.398169205665587,spoof
PA_E_0000046,spoof,11.533271789550781,0.234,5.4217963218688965,0.268,11.904281616210938,0.287,1.0,0.211,7.7793558368682865,spoof
PA_E_0000047,spoof,15.024870872497559,0.234,8.766048431396484,0.268,14.852338790893555,0.287,1.0,0.211,10.338741996765139,spoof
PA_E_0000048,spoof,8.973560333251953,0.234,10.902294158935547,0.268,15.299928665161133,0.287,1.0,0.211,9.623707479476929,spoof
PA_E_0000049,spoof,12.320951461791992,0.234,10.314026832580566,0.268,15.45449161529541,0.287,1.0,0.211,10.293700926780701,spoof
PA_E_0000050,spoof,2.670102596282959,0.234,2.794377088546753,0.268,0.6816480755805969,0.287,0.5637274384498596,0.211,1.688276554465294,spoof
PA_E_0000051,spoof,11.398154258728027,0.234,8.769951820373535,0.268,5.79924201965332,0.287,1.0,0.211,6.89289764404297,spoof
PA_E_0000052,spoof,12.720376968383789,0.234,11.119379043579102,0.268,12.16869068145752,0.287,1.0,0.211,9.659976019859315,spoof
PA_E_0000053,spoof,12.915731430053711,0.234,9.53042984008789,0.268,14.40314769744873,0.287,1.0,0.211,9.921139740943909,spoof
PA_E_0000054,spoof,18.768871307373047,0.234,11.763623237609863,0.268,14.914588928222656,0.287,1.0,0.211,12.03605393600464,spoof
PA_E_0000055,bonafide,-7.9084672927856445,0.234,-9.255020141601562,0.268,-6.807556629180908,0.287,2.4662851760837157e-09,0.211,-6.284695496515594,bonafide
PA_E_0000056,bonafide,-6.695580959320068,0.234,-7.243196964263916,0.268,-6.697828769683838,0.287,3.2284965527651366e-06,0.211,-5.430218906590114,bonafide
PA_E_0000057,spoof,1.052217721939087,0.234,6.1989850997924805,0.268,8.032516479492188,0.287,0.9999997615814209,0.211,4.423879132986069,spoof
PA_E_0000058,spoof,11.76341438293457,0.234,8.681453704833984,0.268,13.360955238342285,0.287,1.0,0.211,9.124862711906433,spoof
PA_E_0000059,spoof,14.337732315063477,0.234,5.493785381317139,0.268,13.042611122131348,0.287,1.0,0.211,8.781593235969543,spoof
PA_E_0000060,spoof,18.60602569580078,0.234,13.031270027160645,0.268,17.65692710876465,0.287,1.0,0.211,13.124728460311891,spoof
PA_E_0000061,bonafide,-3.1770970821380615,0.234,-4.716650485992432,0.268,-4.990716934204102,0.287,0.36670002341270447,0.211,-3.3624651026427745,bonafide
PA_E_0000062,bonafide,-7.460905075073242,0.234,-7.207539081573486,0.268,-5.116808891296387,0.287,8.008944860193878e-05,0.211,-5.145979514357241,bonafide
PA_E_0000063,spoof,11.596634864807129,0.234,10.416853904724121,0.268,13.829021453857422,0.287,1.0,0.211,9.685258562088013,spoof
PA_E_0000064,spoof,13.38424301147461,0.234,10.702550888061523,0.268,13.813191413879395,0.287,1.0,0.211,10.175582438468934,spoof
PA_E_0000065,spoof,14.173442840576172,0.234,10.424175262451172,0.268,15.700948715209961,0.287,1.0,0.211,10.827436876296998,spoof
PA_E_0000066,spoof,12.358024597167969,0.234,10.555811882019043,0.268,13.826586723327637,0.287,1.0,0.211,9.899965729713442,spoof
